accel_rms_mean,accel_rms_std,accel_delta,accel_roc,velocity_rms_z,peak_to_rms_ratio,motor_temp_delta,humidity_trend,load_pct,load_variance,multivariate_score
31.34,4.32,-6.98,4.8,1.101,2.01,14.6,-0.413,0.799,19.7,0.144
23.89,13.12,-1.29,4.75,-1.087,2.25,7.2,-0.239,0.492,6.0,0.129
32.24,2.69,-3.27,-1.27,-0.997,1.82,12.2,-0.161,0.589,7.3,0.335
29.35,10.31,0.83,0.29,1.087,2.23,9.2,0.06,0.304,43.4,0.083
33.05,7.58,1.94,-5.0,-0.737,1.45,10.5,0.358,0.52,21.5,0.356
26.8,2.94,-8.52,-1.27,0.779,2.0,15.6,0.061,0.316,26.0,0.295
23.5,10.74,-1.5,-0.98,1.36,1.24,18.5,0.107,0.391,16.6,0.116
29.6,5.28,1.72,-4.87,-0.19,2.29,18.6,0.474,0.811,21.9,0.232
24.13,8.96,-9.51,0.44,-0.532,1.67,9.3,0.449,0.263,6.6,0.271
27.04,9.71,1.22,-2.88,-1.152,2.04,18.6,-0.284,0.257,35.1,0.323
24.21,2.43,1.12,-0.27,0.308,1.56,6.7,0.431,0.554,19.3,0.151
26.52,6.14,-2.06,-4.32,0.627,1.57,21.7,-0.272,0.479,35.6,0.339
32.23,8.16,0.64,2.63,0.084,1.91,9.1,-0.44,0.41,12.8,0.076
24.31,4.84,-6.41,-3.0,0.52,2.29,14.8,0.489,0.291,43.3,0.204
27.51,5.4,0.32,0.2,1.021,1.69,6.1,-0.494,0.583,34.9,0.251
31.88,6.38,0.11,-1.43,1.27,1.37,6.4,-0.404,0.575,23.6,0.23
28.05,6.6,4.05,4.13,-0.077,1.51,6.5,0.484,0.548,41.8,0.202
28.79,10.25,3.55,4.71,0.085,2.25,15.8,-0.212,0.57,37.9,0.267
26.38,5.11,9.4,0.99,-1.13,2.43,13.5,-0.247,0.675,47.2,0.104
30.0,9.93,0.67,-3.3,0.533,1.86,21.0,0.031,0.311,34.8,0.174
30.13,2.92,-8.89,-3.8,0.994,1.35,19.1,-0.335,0.809,33.4,0.102
24.86,2.86,-2.94,-0.12,0.09,2.5,23.9,-0.147,0.479,39.6,0.114
32.27,8.36,5.9,-1.49,0.467,2.34,13.6,0.258,0.145,8.4,0.327
25.24,7.59,-3.74,-2.87,0.816,1.61,9.0,-0.112,0.387,19.6,0.161
28.69,4.69,0.11,2.97,-0.775,1.64,22.4,-0.453,0.555,18.2,0.357
30.11,8.5,1.96,-1.75,1.177,2.12,12.7,0.269,0.849,6.9,0.347
28.87,3.53,-1.29,0.1,0.07,2.19,11.1,-0.009,0.402,23.0,0.063
31.4,12.12,3.43,3.92,1.157,2.42,5.9,-0.311,0.096,33.8,0.259
27.55,13.59,2.52,-0.66,-1.317,1.43,11.7,-0.349,0.279,12.4,0.24
32.36,7.93,1.61,2.14,-0.903,1.35,14.6,0.461,0.137,44.6,0.152
25.47,6.03,-8.81,0.12,-0.12,1.47,8.7,-0.477,0.623,25.8,0.387
33.01,6.91,-0.26,1.54,0.257,2.35,14.8,0.409,0.58,40.2,0.186
24.34,13.1,1.84,-1.85,0.251,2.22,24.1,0.127,0.729,37.6,0.264
23.6,3.19,9.73,4.2,-0.571,2.49,11.0,0.458,0.561,22.6,0.107
30.6,9.78,-0.61,-1.88,0.175,2.32,8.1,0.161,0.387,45.9,0.08
27.4,10.26,9.68,-2.16,1.064,2.23,5.6,0.424,0.325,42.7,0.129
32.63,6.44,-1.2,4.97,-0.753,1.98,7.2,0.381,0.376,33.7,0.347
28.91,12.71,-0.28,-2.97,0.952,1.66,8.3,-0.071,0.784,34.9,0.253
25.55,13.14,-7.3,-0.5,0.202,1.64,9.5,-0.182,0.692,23.0,0.053
32.86,4.23,-5.75,-0.11,0.359,1.42,18.7,-0.133,0.269,16.8,0.097
24.38,11.94,4.03,-3.92,-0.716,2.07,7.0,-0.426,0.603,38.8,0.063
32.52,7.17,4.34,-2.43,1.467,2.37,14.8,-0.006,0.076,35.0,0.333
31.94,6.94,-6.35,4.27,-0.68,2.33,17.2,0.184,0.446,27.1,0.273
27.74,10.65,-6.25,-3.77,-0.107,2.05,16.7,-0.252,0.649,49.1,0.087
27.27,11.99,3.2,1.02,0.182,2.4,13.7,-0.398,0.322,6.8,0.057
29.22,8.33,-3.72,-4.13,0.086,1.99,11.5,-0.436,0.135,44.2,0.256
32.13,11.18,9.51,2.62,-0.11,1.78,17.2,0.414,0.344,21.7,0.187
27.96,7.25,-0.15,0.99,0.151,1.41,19.4,-0.455,0.416,42.0,0.315
26.48,12.6,7.83,-2.19,0.174,1.94,10.1,0.218,0.586,45.2,0.238
25.02,1.95,-6.4,4.51,-0.473,1.21,17.9,0.27,0.588,12.1,0.324
23.36,12.42,-2.14,-2.9,0.981,2.29,7.0,0.173,0.693,46.7,0.055
30.94,12.19,-3.88,-0.95,-1.135,2.35,10.9,-0.483,0.206,48.4,0.348
23.39,5.14,7.91,-4.39,-0.001,1.73,22.6,0.061,0.185,12.2,0.169
25.09,7.86,9.93,-3.8,0.201,2.46,16.7,0.396,0.452,28.4,0.305
24.53,3.42,-2.6,1.49,1.256,1.77,24.3,0.459,0.74,40.2,0.388
29.06,5.73,-1.59,2.91,0.109,1.88,22.8,0.304,0.227,5.6,0.139
26.39,4.58,-0.74,-2.69,-0.718,1.59,15.8,-0.421,0.82,23.3,0.362
26.35,12.64,7.5,4.13,0.563,2.0,16.0,0.056,0.556,19.2,0.382
25.99,2.57,6.19,1.09,0.743,1.78,19.3,0.204,0.513,33.1,0.081
29.24,8.92,5.98,-0.32,-0.358,1.71,11.4,0.35,0.24,21.1,0.121
25.56,10.72,-0.65,1.99,-0.229,1.41,12.8,-0.484,0.752,37.5,0.129
32.06,8.48,7.57,-0.03,-0.403,1.74,8.7,-0.392,0.255,46.1,0.386
23.41,5.93,-9.21,2.46,0.51,2.14,13.5,0.235,0.599,45.7,0.299
28.21,6.06,-8.04,-0.64,0.59,1.86,15.0,0.461,0.567,10.5,0.23
23.38,7.79,6.15,2.6,-0.695,2.32,13.4,-0.347,0.536,28.4,0.201
30.14,3.9,-1.9,-4.79,-0.678,1.88,15.7,0.057,0.491,22.2,0.101
30.38,4.04,-6.11,-1.95,-0.725,1.55,12.0,-0.147,0.118,37.0,0.061
31.85,13.42,3.23,2.89,0.954,2.48,18.0,0.448,0.41,12.3,0.245
23.78,12.71,1.67,-1.76,1.024,1.24,10.2,0.264,0.821,25.8,0.126
26.0,8.9,7.71,0.41,-0.244,1.89,20.5,0.036,0.33,48.8,0.307
30.95,1.95,-1.38,-1.77,0.327,1.35,20.8,0.365,0.582,44.9,0.295
32.49,13.89,-8.98,-2.41,0.494,1.48,15.9,-0.007,0.324,9.7,0.3
30.25,9.44,-2.47,0.83,-0.503,2.29,14.3,0.14,0.333,30.0,0.076
30.16,10.55,-3.67,3.13,0.154,2.1,18.6,-0.423,0.103,16.7,0.103
24.17,4.38,5.14,-2.32,-1.004,2.21,10.8,0.399,0.58,35.6,0.096
27.01,11.32,5.13,-0.76,1.478,2.06,14.8,-0.411,0.464,6.0,0.228
31.76,11.71,1.85,3.42,-0.761,2.02,20.9,-0.217,0.224,34.8,0.295
24.97,13.22,9.17,-3.08,1.164,1.81,15.7,-0.368,0.593,44.8,0.266
32.83,12.15,0.31,0.19,0.985,1.72,19.8,-0.385,0.276,40.5,0.318
32.85,7.44,-6.58,3.67,-0.972,2.35,18.6,0.378,0.124,20.9,0.358
23.5,10.08,5.16,-0.18,1.355,2.47,5.7,-0.287,0.452,9.0,0.08
23.8,10.85,7.52,-2.12,0.805,1.36,7.1,0.429,0.506,40.7,0.262
29.79,7.23,-3.35,0.74,0.406,1.37,17.9,0.252,0.556,9.6,0.198
30.64,8.45,-8.69,-3.35,1.187,1.48,24.4,0.43,0.351,45.3,0.36
28.08,7.09,-7.6,0.3,1.025,1.31,17.2,-0.346,0.136,47.0,0.338
24.07,11.92,5.03,-0.67,1.197,1.56,20.4,0.472,0.12,36.3,0.333
26.75,10.35,-2.34,0.22,-1.164,2.12,6.2,-0.232,0.052,5.2,0.077
27.41,12.5,-4.4,2.63,0.603,2.4,8.7,0.14,0.719,33.9,0.378
29.9,3.93,-5.71,-4.84,-0.066,2.38,7.6,0.054,0.102,39.1,0.344
24.97,9.94,3.62,2.58,0.749,1.91,20.0,-0.444,0.068,9.5,0.337
27.74,11.04,-8.26,2.81,0.895,1.87,6.4,0.061,0.266,41.2,0.19
24.17,5.52,-7.61,-3.09,1.293,2.15,13.5,0.373,0.412,49.5,0.098
25.34,2.96,-2.29,0.54,0.596,2.27,22.2,0.291,0.754,34.7,0.141
29.86,4.95,-0.7,4.87,0.229,2.19,6.8,-0.134,0.276,25.2,0.183
26.41,4.97,8.91,-2.71,-1.464,1.95,8.9,0.18,0.658,24.8,0.317
30.75,7.66,-6.43,3.16,-1.393,1.26,17.8,-0.353,0.396,39.9,0.252
26.51,5.08,-9.78,-0.74,0.57,1.97,20.9,0.385,0.171,21.4,0.361
26.05,12.98,8.62,-2.27,-0.292,1.63,11.0,0.08,0.74,21.5,0.071
28.43,12.26,-0.11,0.05,-0.248,1.94,14.7,-0.403,0.181,20.9,0.337
29.41,2.07,-7.8,-2.8,-0.481,2.39,21.7,0.095,0.095,41.7,0.332
27.49,6.5,-7.11,4.12,-0.613,2.39,14.0,-0.14,0.623,35.0,0.39
29.41,11.86,-9.16,-2.64,-1.148,1.9,23.2,-0.305,0.394,44.5,0.206
24.17,12.29,6.33,-2.1,-0.262,1.7,13.4,0.319,0.692,10.4,0.121
30.53,11.87,7.15,-4.34,-0.612,1.87,18.0,0.37,0.789,32.6,0.182
23.1,4.62,0.44,2.49,1.258,2.09,18.8,0.267,0.227,31.1,0.225
29.15,3.83,-0.23,-1.01,0.063,1.67,16.9,0.112,0.683,24.9,0.295
23.42,9.67,-4.99,-4.22,0.461,1.45,23.0,0.333,0.437,49.0,0.219
23.09,7.17,-1.65,-3.35,0.056,1.51,16.8,0.16,0.082,43.7,0.292
26.61,6.23,9.09,-3.66,-0.496,1.65,21.5,0.096,0.369,37.8,0.184
29.21,12.73,-9.81,3.15,1.03,2.17,16.0,-0.345,0.564,8.0,0.156
30.06,4.69,0.08,-4.29,-1.232,1.96,11.5,0.48,0.147,45.7,0.355
23.32,11.96,-8.86,0.05,1.28,1.7,17.8,-0.171,0.648,33.6,0.163
29.5,13.5,-8.0,-4.68,0.094,1.91,16.6,0.472,0.426,22.8,0.112
26.55,6.36,-2.6,2.42,0.48,1.86,16.6,0.162,0.451,11.2,0.127
28.88,13.16,-1.47,-0.06,-0.286,1.89,24.5,0.085,0.827,35.7,0.289
32.91,12.59,-9.42,3.58,-0.019,2.34,14.5,0.05,0.216,44.7,0.073
24.76,9.87,6.74,1.46,-0.902,1.87,9.6,0.338,0.845,13.5,0.289
29.06,4.14,-0.15,-0.3,1.181,1.51,20.4,0.269,0.529,43.0,0.353
23.47,6.72,-3.85,-3.37,0.557,1.47,19.7,0.018,0.055,31.3,0.322
27.35,13.04,-9.06,-4.65,-0.845,1.53,21.6,0.268,0.426,14.1,0.308
28.87,8.1,-0.59,-4.82,-0.11,2.22,12.3,0.389,0.59,30.2,0.156
23.67,2.34,7.79,0.87,1.224,1.33,20.4,0.014,0.191,31.1,0.061
25.65,9.12,9.61,-1.38,-1.026,2.05,24.6,0.499,0.471,10.1,0.29
27.44,3.58,-4.28,-2.73,-0.603,1.23,11.9,0.251,0.29,18.9,0.195
24.04,13.45,7.24,1.7,-0.05,1.86,11.6,-0.022,0.849,29.8,0.338
26.22,8.77,7.61,2.3,-1.119,1.27,24.3,-0.401,0.685,5.5,0.122
26.02,13.0,7.55,-0.91,1.321,2.03,8.7,0.078,0.055,20.0,0.175
28.75,4.78,5.23,-2.36,0.652,1.45,18.4,-0.419,0.16,21.4,0.307
31.77,10.31,-0.19,-1.81,-1.41,2.12,5.6,-0.247,0.222,37.1,0.056
29.47,9.2,8.19,-0.29,0.523,2.41,19.3,-0.487,0.682,16.7,0.303
27.04,13.69,4.54,3.77,1.131,2.06,24.0,-0.113,0.371,14.2,0.348
28.34,9.24,6.93,-0.78,1.167,2.25,5.1,-0.238,0.17,20.7,0.394
31.82,5.13,-7.73,1.19,1.126,2.24,18.0,-0.177,0.329,17.2,0.136
28.58,2.26,1.88,-3.95,-1.138,1.52,15.4,0.498,0.363,7.8,0.277
25.68,12.72,-9.54,-4.52,-0.413,2.07,8.5,-0.275,0.058,39.7,0.305
27.39,11.7,5.6,-2.79,-0.969,1.81,23.6,-0.278,0.125,25.9,0.213
23.59,4.42,-0.96,-1.95,0.054,2.27,24.1,-0.215,0.43,33.7,0.168
23.95,2.47,1.01,1.89,-0.628,2.17,12.0,-0.264,0.549,19.9,0.103
25.57,12.22,4.41,-4.08,-0.351,1.83,11.0,0.349,0.27,34.8,0.1
27.07,11.2,-8.71,-4.0,-0.871,1.52,23.0,-0.068,0.08,9.0,0.211
24.2,13.81,-9.01,-3.98,0.635,1.48,9.9,0.314,0.751,27.5,0.223
24.48,12.76,0.45,-4.2,0.898,1.87,6.0,-0.281,0.768,48.4,0.213
27.27,2.02,6.01,-3.91,0.813,1.42,16.1,0.281,0.135,40.3,0.079
27.81,6.98,-0.77,-3.83,-0.164,1.97,19.0,-0.189,0.798,40.2,0.341
26.36,4.22,-0.15,4.8,-0.147,1.93,17.5,-0.484,0.275,29.9,0.173
24.73,7.13,-7.88,4.81,0.502,1.48,23.9,0.039,0.726,30.0,0.323
29.8,3.7,-8.82,-3.8,-1.31,2.44,6.8,-0.197,0.198,6.5,0.388
27.14,9.35,-0.19,-3.84,-0.196,1.26,20.3,0.372,0.052,32.2,0.129
26.21,4.84,2.18,-2.54,1.273,1.58,18.3,0.311,0.347,44.3,0.125
31.28,7.61,-7.69,-4.97,-0.091,1.35,22.9,-0.469,0.402,6.6,0.326
23.93,5.52,2.09,-3.68,1.267,1.99,10.1,0.209,0.062,22.6,0.216
32.22,3.2,-6.52,3.26,-0.689,2.13,13.7,-0.475,0.247,16.7,0.167
27.67,4.54,-8.93,-0.31,-0.918,1.65,11.5,-0.298,0.486,49.9,0.096
29.75,7.66,-2.8,-4.61,-0.456,1.75,15.8,-0.08,0.37,43.9,0.096
29.32,12.14,1.95,4.5,-0.307,2.45,17.2,-0.007,0.353,17.6,0.177
29.44,11.22,6.12,-4.17,1.129,2.42,16.8,0.378,0.062,32.6,0.301
28.09,1.96,-6.09,2.54,0.073,2.37,14.5,0.488,0.145,32.8,0.383
32.82,9.3,2.38,-4.14,0.696,2.47,22.3,0.225,0.09,14.6,0.191
31.04,9.77,4.24,-0.27,0.621,1.58,18.7,0.096,0.319,35.3,0.14
28.04,13.66,-7.7,-4.16,1.023,1.2,18.6,-0.391,0.14,47.6,0.069
24.95,5.33,4.68,-2.59,0.587,2.24,20.9,-0.345,0.122,41.0,0.348
31.44,7.01,-5.47,4.22,1.117,1.99,16.9,-0.421,0.5,8.9,0.054
24.9,1.96,-1.12,3.78,-0.825,2.1,10.6,-0.33,0.187,9.8,0.158
29.86,11.45,-0.26,-2.09,-0.735,2.21,11.1,-0.454,0.476,29.0,0.336
27.75,9.59,-6.65,-0.95,1.465,2.36,6.8,-0.116,0.592,6.3,0.372
25.3,6.26,6.19,-0.94,0.925,1.94,8.4,0.391,0.455,43.9,0.34
27.49,12.49,-5.58,-0.85,-0.88,2.43,18.9,-0.223,0.186,48.0,0.073
26.62,13.23,-0.65,-4.92,0.841,1.91,5.8,0.191,0.587,40.9,0.377
30.4,11.35,-5.81,-2.82,-0.411,1.67,14.3,0.465,0.661,31.1,0.29
32.76,5.36,-6.84,0.42,-0.16,1.37,7.7,0.338,0.259,46.2,0.328
27.29,8.42,1.44,-1.6,-0.561,2.36,16.1,0.343,0.729,11.7,0.349
31.16,5.42,-5.53,4.25,-0.954,1.3,23.7,-0.461,0.179,21.2,0.196
30.6,12.7,-8.36,-2.92,-1.201,2.21,13.0,-0.266,0.423,27.7,0.363
30.23,7.29,-7.6,1.69,-1.495,1.86,14.9,0.307,0.373,8.2,0.259
24.18,8.46,-7.72,2.41,1.216,2.24,24.1,-0.408,0.708,6.5,0.398
30.84,10.72,-3.05,-0.45,-1.474,1.31,15.0,0.465,0.176,45.2,0.209
28.45,13.03,0.83,4.04,1.089,2.2,22.7,0.184,0.736,32.9,0.214
27.47,7.78,-7.84,0.63,1.479,2.08,8.3,-0.026,0.659,13.5,0.296
32.05,3.74,1.81,4.29,-0.321,1.52,18.7,0.298,0.478,13.8,0.277
23.64,10.86,1.88,4.58,0.139,2.43,24.3,0.23,0.298,28.1,0.182
32.0,6.21,-5.67,-1.73,-1.46,1.54,8.4,-0.32,0.779,19.4,0.08
26.1,9.08,6.29,-1.35,-0.77,2.24,22.0,0.098,0.497,45.2,0.357
30.4,9.48,2.96,-3.03,-0.631,1.44,21.1,0.095,0.277,10.9,0.263
27.82,4.77,4.75,-4.83,1.441,2.05,15.7,0.198,0.15,45.1,0.261
29.07,12.04,9.16,-2.82,-0.561,2.04,24.7,0.471,0.765,29.9,0.075
31.72,5.77,-1.77,-1.74,-1.415,1.45,16.3,0.132,0.81,43.2,0.22
29.09,9.79,9.5,-1.32,0.508,2.08,8.1,-0.382,0.532,6.9,0.354
30.45,9.26,-7.35,2.85,-0.307,1.55,23.2,0.337,0.094,22.3,0.256
30.99,12.82,7.25,3.44,0.96,2.33,19.3,-0.182,0.762,29.9,0.265
29.55,10.25,7.36,-3.49,-0.019,1.57,18.2,-0.018,0.821,23.3,0.109
23.44,7.88,-0.6,1.27,-0.997,2.49,15.3,0.399,0.448,16.5,0.244
23.14,5.33,0.09,0.45,0.816,1.39,10.5,-0.399,0.077,14.3,0.292
25.2,6.23,4.83,0.54,0.7,1.93,5.2,0.404,0.404,49.6,0.27
29.46,7.34,-1.37,-0.19,0.603,1.79,14.2,-0.326,0.23,44.9,0.092
31.8,7.28,6.58,1.72,0.947,2.35,5.9,0.179,0.302,19.4,0.362
23.21,12.2,-6.49,3.71,-0.725,1.86,23.9,0.254,0.758,18.9,0.2
30.35,3.99,9.01,-3.25,-1.27,2.22,7.4,0.164,0.398,29.1,0.279
25.06,4.92,-7.06,-0.13,-0.199,2.17,18.4,-0.117,0.2,22.3,0.161
30.23,3.86,6.81,3.1,-0.823,1.78,14.1,-0.419,0.842,15.9,0.088
26.43,7.85,2.53,-2.61,-1.314,1.82,13.5,0.312,0.618,12.0,0.197
26.6,10.95,-9.18,-4.49,-0.47,1.4,10.1,-0.074,0.141,33.0,0.346
27.95,2.09,8.94,2.49,-0.642,2.35,17.1,0.363,0.135,19.4,0.138
24.62,8.12,8.44,-3.51,-0.014,2.27,24.9,0.223,0.171,30.8,0.368
32.21,13.67,-4.87,4.16,-0.841,1.33,5.8,-0.215,0.484,31.7,0.198
31.23,9.52,4.31,-1.52,-0.005,1.2,12.7,-0.185,0.367,28.1,0.243
30.76,11.13,8.98,-4.94,0.595,2.47,13.2,-0.218,0.249,39.8,0.235
23.53,12.2,6.02,-1.08,0.17,1.91,12.0,0.426,0.842,12.8,0.265
27.31,6.61,-1.2,0.13,-0.731,1.97,18.6,-0.348,0.839,23.9,0.068
32.25,9.32,-1.94,-2.93,-0.093,1.33,21.2,0.177,0.357,19.0,0.241
24.04,2.97,-4.74,-0.11,1.385,1.86,15.7,0.368,0.559,24.5,0.126
32.84,2.74,-8.63,1.27,-1.387,1.57,15.3,0.01,0.106,8.8,0.151
25.55,2.1,-3.61,1.8,0.237,1.83,10.4,0.414,0.455,11.0,0.056
23.61,7.42,-9.98,-3.34,-0.629,1.44,13.6,-0.46,0.391,44.8,0.138
29.83,8.46,-3.25,-1.35,0.695,2.13,9.2,0.261,0.262,14.6,0.106
28.97,5.77,1.37,1.51,-0.161,2.3,14.4,-0.229,0.157,23.1,0.084
26.62,8.83,-5.94,4.15,1.254,1.58,24.7,-0.167,0.806,9.9,0.33
23.13,1.98,3.71,3.6,-0.003,2.32,12.5,0.465,0.435,7.5,0.099
32.47,7.49,-6.51,3.57,-0.368,1.25,17.4,-0.061,0.82,8.6,0.235
25.92,6.1,-0.35,2.76,-1.478,1.26,10.9,0.388,0.65,27.1,0.176
26.69,11.79,3.29,2.17,-0.89,2.39,18.8,0.466,0.677,20.0,0.251
25.4,9.34,4.47,-2.81,1.099,1.46,10.0,0.428,0.688,14.6,0.193
32.58,13.63,3.34,1.73,-0.356,1.64,19.0,-0.113,0.435,40.4,0.215
31.34,9.17,7.95,3.71,-1.072,1.65,23.0,-0.168,0.148,33.9,0.151
29.18,3.09,-1.11,-2.33,0.975,1.61,13.9,-0.459,0.552,46.6,0.344
32.72,8.12,-7.24,0.39,0.381,2.41,15.7,0.256,0.673,44.6,0.238
30.86,11.95,-0.39,-4.14,-1.459,1.26,19.2,0.126,0.586,14.4,0.307
22.95,7.17,-0.04,0.06,-0.619,2.03,6.3,-0.292,0.271,47.7,0.281
32.12,6.45,-1.28,-1.07,0.84,2.19,21.4,0.078,0.329,16.4,0.347
32.22,3.44,6.29,-2.95,0.858,2.48,12.1,-0.421,0.834,11.4,0.161
25.37,2.21,8.37,0.54,0.234,1.31,10.1,-0.253,0.365,30.7,0.329
24.89,11.74,-6.58,-4.24,1.223,1.3,23.2,0.473,0.743,34.4,0.249
31.82,7.03,-1.54,4.3,0.082,1.83,5.7,0.476,0.292,25.5,0.293
28.95,12.42,-9.59,-1.08,0.039,1.26,8.1,-0.326,0.183,7.0,0.235
26.86,7.12,-0.8,-0.26,-1.34,1.35,17.3,0.295,0.476,19.0,0.288
30.38,7.39,-6.27,-1.04,0.194,1.85,5.2,-0.272,0.446,9.5,0.397
25.27,13.86,-4.34,3.57,-1.291,1.32,20.0,0.03,0.561,11.7,0.108
28.95,13.64,-1.6,-3.57,0.955,1.69,14.6,-0.122,0.302,6.7,0.361
28.08,13.03,0.32,2.58,-0.334,1.95,23.5,0.065,0.218,29.3,0.1
28.72,5.51,3.68,-3.06,0.126,1.97,17.3,0.112,0.507,31.4,0.153
32.73,2.14,-7.59,2.41,-0.119,1.41,20.0,-0.199,0.31,12.8,0.203
32.86,5.12,-0.59,-1.73,-0.52,1.32,9.9,0.088,0.719,27.7,0.287
23.95,8.84,7.62,-2.64,-0.08,2.24,16.0,0.31,0.301,47.2,0.101
29.29,11.93,-7.67,3.81,-1.386,2.16,12.4,-0.212,0.325,10.8,0.31
23.04,6.34,7.42,0.14,-1.247,1.46,20.8,0.295,0.527,12.7,0.239
24.54,11.75,4.25,-1.74,0.39,1.48,9.8,-0.308,0.185,23.6,0.258
25.28,9.63,-4.64,1.21,0.023,2.03,22.3,-0.361,0.637,41.5,0.285
27.16,13.84,-0.9,1.95,1.329,1.7,15.1,-0.053,0.68,43.6,0.162
32.21,4.43,2.46,0.26,0.83,2.28,16.2,0.462,0.795,20.4,0.384
24.94,8.32,-7.11,1.95,-1.412,2.3,24.9,-0.486,0.609,41.9,0.187
23.44,11.35,3.77,0.64,-1.463,1.32,16.2,0.026,0.059,24.3,0.352
30.45,5.92,4.06,-2.46,1.452,2.12,11.8,-0.331,0.842,19.8,0.287
26.43,9.82,3.27,-3.41,-0.655,1.23,11.6,0.491,0.64,18.6,0.235
24.65,9.9,-0.05,-2.71,-1.076,1.42,10.5,0.062,0.118,32.7,0.329
23.48,11.97,-9.43,-0.3,-1.413,1.55,21.4,-0.269,0.386,18.9,0.171
30.77,10.31,3.26,-1.85,1.31,1.59,12.8,0.409,0.495,45.3,0.295
30.53,6.55,2.64,3.76,-0.801,1.6,17.5,-0.299,0.355,15.8,0.398
30.84,7.96,-8.96,-2.91,-0.68,2.43,20.3,-0.278,0.526,27.6,0.395
31.76,2.77,-2.68,2.27,-0.18,1.5,6.8,0.445,0.522,24.3,0.23
27.3,5.19,-1.66,4.52,0.406,2.14,20.1,-0.109,0.595,28.5,0.236
23.86,4.38,3.88,-2.51,0.592,1.33,21.6,-0.121,0.326,16.9,0.34
29.8,4.4,5.72,-4.89,0.224,1.98,11.2,0.028,0.714,14.7,0.344
26.98,3.13,6.07,-1.2,-1.182,2.37,12.2,-0.185,0.211,7.5,0.073
28.7,13.79,-4.81,-1.45,-0.717,1.74,24.1,-0.37,0.461,38.1,0.301
24.27,6.29,-2.92,-3.46,-1.007,1.95,22.2,-0.01,0.108,12.4,0.378
29.11,6.34,8.78,-1.79,0.117,2.17,20.5,-0.102,0.661,32.2,0.292
26.8,4.3,3.45,0.97,-0.456,1.89,15.8,0.444,0.659,10.9,0.162
26.88,11.34,-9.77,1.8,-1.239,1.97,15.3,0.126,0.509,38.3,0.186
24.58,8.57,7.72,1.92,0.19,2.5,9.5,0.338,0.153,14.3,0.326
27.13,2.29,-1.11,-3.55,-0.752,1.82,12.9,0.251,0.606,13.1,0.388
24.79,9.5,8.19,-1.86,-0.631,1.5,14.2,-0.245,0.646,40.6,0.109
28.49,7.27,0.7,3.94,0.33,1.38,10.2,-0.306,0.527,36.1,0.147
24.21,3.19,6.41,3.07,-1.249,1.23,9.7,-0.498,0.33,39.5,0.347
25.15,5.66,7.67,-4.9,0.815,1.38,18.9,0.13,0.425,26.0,0.37
30.76,8.02,8.47,2.44,-1.074,1.74,18.7,-0.314,0.772,41.3,0.383
29.77,4.82,-3.04,4.98,0.975,1.22,5.7,0.081,0.184,22.8,0.207
31.53,7.74,7.22,-3.61,0.288,2.2,12.3,0.294,0.757,20.9,0.091
28.15,10.7,-5.01,4.88,0.27,2.48,22.0,0.134,0.515,26.7,0.18
31.83,7.17,-6.07,2.72,0.094,1.74,22.9,0.1,0.399,41.1,0.268
26.33,13.44,-8.57,-3.4,-0.851,1.89,21.8,-0.058,0.789,32.8,0.14
29.33,3.66,-9.07,2.61,1.112,2.11,19.8,0.224,0.648,11.1,0.348
29.27,13.89,-4.96,-4.91,-1.285,2.48,11.2,-0.095,0.811,20.3,0.263
32.71,7.38,-9.56,-0.76,-0.952,1.42,23.5,-0.016,0.841,5.2,0.179
26.6,12.14,9.14,-4.34,-0.599,2.15,13.4,-0.168,0.26,14.5,0.313
24.4,7.58,3.22,4.81,0.609,2.05,13.1,-0.353,0.414,40.1,0.341
24.02,8.19,3.71,-2.12,-0.884,2.46,22.4,0.0,0.116,34.2,0.386
26.94,10.27,9.35,1.63,-0.229,1.75,9.2,0.36,0.503,20.8,0.128
27.34,7.02,-5.31,-3.23,1.038,1.35,11.5,0.414,0.12,45.8,0.313
25.57,2.8,9.41,2.47,1.214,1.86,5.7,-0.104,0.522,38.3,0.142
27.74,13.78,-1.97,-2.04,-1.46,1.91,24.8,-0.301,0.104,13.7,0.327
23.34,13.04,-0.91,0.99,1.046,1.85,17.8,-0.028,0.765,39.3,0.169
30.1,2.32,-1.44,-4.16,-0.304,1.71,16.9,0.114,0.672,7.8,0.106
30.45,11.38,-1.3,2.07,0.102,2.42,19.3,0.36,0.436,24.0,0.151
25.34,12.88,0.2,-0.71,-0.764,1.36,19.6,0.195,0.81,15.6,0.11
27.53,5.41,-5.23,3.07,-0.141,1.26,11.5,-0.002,0.209,23.5,0.307
24.39,13.65,4.11,-0.88,0.453,2.5,11.1,0.094,0.304,39.9,0.077
31.63,6.26,-8.09,3.21,-1.028,1.84,5.8,0.38,0.652,47.9,0.309
29.12,11.2,3.82,1.25,1.215,1.81,11.1,-0.254,0.578,26.2,0.309
29.69,13.82,-2.07,0.66,-0.376,1.83,24.1,-0.429,0.522,32.5,0.285
24.2,7.12,7.8,2.71,-0.868,2.17,5.1,0.394,0.817,32.4,0.145
26.24,10.56,-7.03,-2.21,1.497,2.26,9.5,-0.174,0.802,6.5,0.164
23.51,11.31,2.54,0.24,0.836,1.99,7.0,-0.368,0.817,33.7,0.375
25.36,8.42,0.29,-0.7,-0.816,2.06,6.5,-0.401,0.749,44.5,0.291
